 num     #instances         #bytes  class name (module)
 208:          1072          42880  com.intellij.util.containers.WeakHashMap$WeakKey
 209:          1758          42192  com.intellij.vcs.log.impl.HashImpl
 210:          2623          41968  com.intellij.codeInspection.ex.InspectionToolRegistrar$$Lambda$1245/0x0000000801049c40
 211:          2620          41920  com.intellij.codeInspection.ex.InspectionProfileImpl$$Lambda$1638/0x00000008016e6840
 212:           870          41760  java.util.WeakHashMap (java.base@11.0.7)
 213:          2602          41632  java.util.regex.Pattern$$Lambda$18/0x00000008000d8040 (java.base@11.0.7)
 214:          1277          40864  sun.security.util.ObjectIdentifier (java.base@11.0.7)
 215:           726          40656  org.jetbrains.plugins.scala.lang.psi.impl.toplevel.synthetic.ScSyntheticFunction
 216:          1680          40320  kotlin.reflect.jvm.internal.ReflectProperties$LazySoftVal
 217:          1675          40200  fuck_the_regulations_v321.b7
 218:          1660          39840  java.awt.AWTEventMulticaster (java.desktop@11.0.7)
 219:          1644          39456  com.intellij.openapi.util.IconLoader$CachedImageIcon$MyScaledIconsCache
 220:           702          39312  com.intellij.psi.impl.source.tree.CompositeElement
 221:          1629          39096  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@11.0.7)
 222:          1600          38400  java.beans.PropertyChangeSupport (java.desktop@11.0.7)
 223:          2361          37776  com.intellij.grazie.detector.utils.collections.array.TrivialOptimizedFloatArray
 224:          1563          37512  java.util.regex.Pattern$CharProperty (java.base@11.0.7)
 225:           688          37280  [Ljava.lang.invoke.LambdaForm$Name; (java.base@11.0.7)
 226:          1164          37248  javafx.css.Declaration (javafx.graphics@11.0.7)
 227:           916          36640  gnu.trove.THashSet
 228:           914          36560  javassist.bytecode.CodeAttribute
 229:           914          36560  javassist.bytecode.MethodInfo
 230:          1517          36408  java.lang.StringBuilder (java.base@11.0.7)
 231:          1133          36256  java.awt.Color (java.desktop@11.0.7)
 232:          1128          36096  javafx.collections.ListChangeBuilder (javafx.base@11.0.7)
 233:           897          35880  com.intellij.util.containers.ConcurrentIntKeyWeakValueHashMap$MyRef
 234:           744          35712  java.util.ResourceBundle$BundleReference (java.base@11.0.7)
 235:           742          35616  com.intellij.codeInsight.intention.IntentionActionBean
 236:           369          35424  com.intellij.util.io.IntToIntBtree
 237:          1476          35424  java.util.regex.Pattern$Ques (java.base@11.0.7)
 238:           880          35200  com.intellij.lang.LanguageExtensionPoint
 239:            88          35200  com.intellij.ui.SimpleColoredComponent
 240:          2198          35168  java.util.HashMap$KeySet (java.base@11.0.7)
 241:          1463          35112  com.intellij.codeInsight.template.impl.TemplateSettings$TemplateKey
 242:           399          35112  com.intellij.codeInspection.InspectionEP
 243:           365          35040  com.intellij.util.io.PersistentBTreeEnumerator
 244:          1451          34824  com.intellij.codeInsight.intention.impl.config.IntentionActionWrapper
 245:           709          34032  com.intellij.codeInsight.intention.impl.config.IntentionActionMetaData
 246:          1400          33600  java.util.regex.Pattern$BitClass (java.base@11.0.7)
 247:          1393          33432  net.loomchild.segment.srx.Rule
 248:          1031          32992  javax.swing.text.html.StyleSheet$SmallConversionSet (java.desktop@11.0.7)
 249:           683          32784  java.lang.invoke.LambdaForm (java.base@11.0.7)
 250:          1365          32760  java.util.regex.Pattern$CharPropertyGreedy (java.base@11.0.7)
 251:          1057          32752  [Lcom.intellij.util.lang.Loader;
 252:          1018          32576  com.intellij.serialization.PropertyAccessor
 253:           365          32120  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Annotation$Argument$Value
 254:          1983          31728  jdk.internal.reflect.DelegatingMethodAccessorImpl (java.base@11.0.7)
 255:           656          31488  org.jetbrains.plugins.scala.lang.psi.types.nonvalue.Parameter
 256:           490          31360  java.nio.DirectByteBuffer (java.base@11.0.7)
 257:           356          31328  com.intellij.util.io.PersistentHashMapValueStorage
 258:           489          31296  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$ValueParameter
 259:           973          31136  org.apache.log4j.ProvisionNode
 260:           972          31104  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@11.0.7)
 261:          1629          30936  [Lsun.reflect.generics.tree.TypeArgument; (java.base@11.0.7)
 262:           540          30240  com.intellij.openapi.actionSystem.DefaultActionGroup
 263:          1253          30072  sun.font.FontFamily$FontAndStyle (java.desktop@11.0.7)
 264:          1245          29880  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@11.0.7)
 265:           928          29696  javax.swing.SizeRequirements (java.desktop@11.0.7)
 266:          1235          29640  javassist.bytecode.NameAndTypeInfo
 267:           739          29560  com.intellij.util.io.ResizeableMappedFile
 268:            80          28800  com.intellij.psi.codeStyle.CommonCodeStyleSettings
 269:           865          27680  kotlin.reflect.jvm.internal.impl.name.FqNameUnsafe
 270:            65          27560  com.intellij.ui.components.JBLabel
 271:          1709          27344  java.util.concurrent.atomic.AtomicInteger (java.base@11.0.7)
 272:           243          27216  com.intellij.util.indexing.impl.MapIndexStorage$2
 273:          1121          26904  jdk.internal.reflect.NativeMethodAccessorImpl (java.base@11.0.7)
 274:           558          26784  java.awt.image.DataBufferInt (java.desktop@11.0.7)
 275:           558          26784  java.awt.image.SinglePixelPackedSampleModel (java.desktop@11.0.7)
 276:           659          26360  java.io.FileDescriptor (java.base@11.0.7)
 277:          1644          26304  com.intellij.ui.icons.LazyImageIcon$1
 278:           812          25984  sun.security.util.DerInputBuffer (java.base@11.0.7)
 279:           812          25984  sun.security.util.DerValue (java.base@11.0.7)
 280:           541          25968  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync (java.base@11.0.7)
 281:          1619          25904  sun.reflect.generics.tree.ClassTypeSignature (java.base@11.0.7)
 282:          1076          25824  java.util.Arrays$ArrayList (java.base@11.0.7)
 283:           461          25816  java.io.FileCleanable (java.base@11.0.7)
 284:          1613          25808  java.beans.PropertyChangeSupport$PropertyChangeListenerMap (java.desktop@11.0.7)
 285:           356          25632  com.intellij.util.io.PersistentHashMapValueStorage$MyCompressedAppendableFile
 286:           399          25536  java.util.zip.ZipFile$Source (java.base@11.0.7)
 287:           794          25408  fuck_the_regulations_v321.ao
 288:           632          25280  javax.swing.text.GapContent$MarkData (java.desktop@11.0.7)
 289:          1577          25232  java.lang.ref.ReferenceQueue$Lock (java.base@11.0.7)
 290:          1047          25128  javassist.bytecode.MethodrefInfo
 291:           261          25056  sun.font.AttributeValues (java.desktop@11.0.7)
 292:          1034          24816  kotlin.reflect.jvm.internal.ReflectProperties$LazyVal
 293:           509          24432  javax.swing.text.html.HTMLDocument$BlockElement (java.desktop@11.0.7)
 294:           758          24256  java.util.Locale (java.base@11.0.7)
 295:           756          24192  org.languagetool.analysis.AnalyzedToken
 296:           752          24064  sun.util.locale.BaseLocale$Key (java.base@11.0.7)
 297:           751          24032  sun.util.locale.BaseLocale (java.base@11.0.7)
 298:          1493          23888  com.intellij.idea.IdeaLogger
 299:           156          23712  com.intellij.ide.plugins.IdeaPluginDescriptorImpl
 300:           592          23680  com.intellij.openapi.vfs.newvfs.impl.VirtualDirectoryImpl
 301:           985          23640  fuck_the_regulations_v321.b1
 302:           591          23640  java.util.TreeMap$Entry (java.base@11.0.7)
 303:          1463          23408  com.intellij.codeInsight.template.impl.TemplateContext
 304:           968          23232  com.google.common.collect.ImmutableMapEntry
 305:           481          23088  com.intellij.util.containers.ConcurrentSoftValueHashMap$MySoftReference
 306:           955          22920  kotlin.reflect.jvm.internal.ReflectProperties$LazyVal
 307:           948          22752  java.util.regex.Pattern$BmpCharPredicate$$Lambda$55/0x00000008001b7040 (java.base@11.0.7)
 308:            64          22528  com.intellij.ui.components.JBScrollPane$Corner
 309:          1400          22400  java.util.regex.Pattern$$Lambda$20/0x00000008000d8840 (java.base@11.0.7)
 310:          1400          22400  java.util.regex.Pattern$BitClass$$Lambda$19/0x00000008000d8440 (java.base@11.0.7)
 311:           466          22368  gnu.trove.TIntIntHashMap
 312:          1395          22320  javax.swing.ArrayTable (java.desktop@11.0.7)
 313:           979          22280  [Ljavax.swing.text.AttributeSet; (java.desktop@11.0.7)
 314:           463          22224  com.google.gson.internal.LinkedTreeMap$Node
 315:           690          22080  com.intellij.grazie.detector.utils.collections.array.ThreeOptimizedFloatArray
 316:           460          22080  com.intellij.openapi.editor.markup.AttributesFlyweight
 317:            22          22064  [Lcom.intellij.psi.tree.IElementType;
 318:           125          22000  com.intellij.util.ui.GridBag
 319:            55          22000  javax.swing.JLabel (java.desktop@11.0.7)
 320:          1375          22000  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@11.0.7)
 321:           914          21936  javassist.bytecode.ExceptionTable
 322:           914          21936  javassist.bytecode.LineNumberAttribute
 323:           908          21792  javassist.bytecode.LocalVariableAttribute
 324:          1353          21648  java.util.concurrent.atomic.AtomicReference (java.base@11.0.7)
 325:           673          21536  java.io.File (java.base@11.0.7)
 326:           537          21480  javafx.css.Rule (javafx.graphics@11.0.7)
 327:           537          21480  javafx.css.Rule$Observables$1 (javafx.graphics@11.0.7)
 328:           537          21480  javafx.css.Rule$Observables$2 (javafx.graphics@11.0.7)
 329:           895          21480  org.jetbrains.plugins.scala.caches.CachesUtil$Timestamped
 330:           908          21472  [Ljava.lang.reflect.Type; (java.base@11.0.7)
 331:           665          21280  com.intellij.serialization.xml.KotlinAwareBeanBinding
 332:           663          21216  jdk.internal.reflect.UnsafeObjectFieldAccessorImpl (java.base@11.0.7)
 333:           658          21056  com.intellij.util.containers.UnsafeWeakList$MyReference
 334:           873          20952  kotlin.reflect.jvm.internal.impl.name.FqName
 335:           154          20944  com.intellij.ide.plugins.cl.PluginClassLoader
 336:           238          20944  com.intellij.util.indexing.VfsAwareMapReduceIndex
 337:            77          20944  javax.swing.CellRendererPane (java.desktop@11.0.7)
 338:           871          20904  com.intellij.openapi.util.Key
 339:          1303          20848  com.intellij.util.SmartFMap
 340:           519          20760  com.intellij.openapi.actionSystem.impl.ActionManagerImpl$1
 341:          1296          20736  sun.font.Font2DHandle (java.desktop@11.0.7)
 342:            12          20720  [Ljava.nio.ByteBuffer; (java.base@11.0.7)
 343:           616          20576  [[I (java.base@11.0.7)
 344:           367          20552  com.android.tools.lint.detector.api.Issue
 345:           316          20224  fuck_the_regulations_v321.eP
 346:           805          20184  [Ljava.beans.PropertyChangeListener; (java.desktop@11.0.7)
