No dump file specified
 num     #instances         #bytes  class name (module)
 251:           189           4536  org.springframework.beans.AbstractNestablePropertyAccessor$PropertyTokenHolder
 252:            94           4512  com.sun.beans.util.Cache$Kind$Soft (java.desktop@14.0.1)
 253:            12           4512  org.apache.tomcat.util.threads.TaskThread
 254:            43           4472  org.springframework.beans.factory.support.GenericBeanDefinition
 255:           138           4416  org.springframework.cglib.core.WeakCacheKey
 256:           138           4416  org.springframework.cglib.proxy.Enhancer$EnhancerFactoryData
 257:           183           4392  java.util.regex.Pattern$BmpCharProperty (java.base@14.0.1)
 258:           137           4384  java.util.logging.LogManager$LogNode (java.logging@14.0.1)
 259:           135           4320  java.util.TreeMap$KeyIterator (java.base@14.0.1)
 260:           108           4320  org.springframework.util.ConcurrentReferenceHashMap$Segment$1
 261:           134           4288  org.springframework.core.convert.support.GenericConversionService$ConverterAdapter
 262:           133           4256  java.lang.module.ModuleDescriptor$Requires (java.base@14.0.1)
 263:           177           4248  java.security.SecureClassLoader$1 (java.base@14.0.1)
 264:           176           4224  org.springframework.boot.web.server.MimeMappings$Mapping
 265:           105           4200  java.io.ObjectStreamField (java.base@14.0.1)
 266:            75           4200  java.util.logging.Logger (java.logging@14.0.1)
 267:            40           4160  java.lang.invoke.InnerClassLambdaMetafactory (java.base@14.0.1)
 268:           172           4128  java.util.ImmutableCollections$SetN (java.base@14.0.1)
 269:             1           4112  [Ljava.nio.ByteBuffer; (java.base@14.0.1)
 270:           256           4096  java.lang.Short (java.base@14.0.1)
 271:            51           4080  [Lorg.springframework.util.ConcurrentReferenceHashMap$Segment;
 272:           127           4064  com.sun.org.apache.xerces.internal.xni.QName (java.xml@14.0.1)
 273:           254           4064  java.security.SecureClassLoader$CodeSourceKey (java.base@14.0.1)
 274:           113           4032  [Ljava.beans.PropertyDescriptor; (java.desktop@14.0.1)
 275:             1           4016  [Lorg.springframework.boot.actuate.audit.AuditEvent;
 276:           167           4008  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@14.0.1)
 277:           100           4000  java.util.HashMap$KeyIterator (java.base@14.0.1)
 278:           100           4000  sun.reflect.generics.repository.MethodRepository (java.base@14.0.1)
 279:           165           3976  [Lorg.springframework.util.ConcurrentReferenceHashMap$TaskOption;
 280:            62           3968  java.lang.module.ModuleDescriptor (java.base@14.0.1)
 281:           123           3936  java.util.Collections$SynchronizedMap (java.base@14.0.1)
 282:            82           3936  javax.management.MBeanInfo (java.management@14.0.1)
 283:            82           3936  jdk.internal.org.objectweb.asm.Frame (java.base@14.0.1)
 284:           244           3904  java.util.concurrent.locks.ReentrantLock (java.base@14.0.1)
 285:           121           3872  java.util.zip.ZipFile$CleanableResource (java.base@14.0.1)
 286:           161           3864  java.lang.PublicMethods$Key (java.base@14.0.1)
 287:            69           3864  java.lang.invoke.LambdaFormEditor$Transform (java.base@14.0.1)
 288:           241           3856  com.sun.proxy.$Proxy21
 289:           240           3840  java.util.jar.JarFile$1 (java.base@14.0.1)
 290:            60           3840  jdk.internal.org.objectweb.asm.FieldWriter (java.base@14.0.1)
 291:            68           3808  org.apache.tomcat.util.modeler.ManagedBean
 292:           157           3768  org.springframework.boot.autoconfigure.condition.OnBeanCondition
 293:           155           3720  java.util.concurrent.CopyOnWriteArrayList$COWIterator (java.base@14.0.1)
 294:            46           3696  [Ljava.lang.invoke.MethodHandle; (java.base@14.0.1)
 295:            92           3680  java.math.BigInteger (java.base@14.0.1)
 296:            39           3584  [Lorg.springframework.boot.context.properties.source.PropertyMapping;
 297:            64           3584  org.hibernate.validator.internal.util.ConcurrentReferenceHashMap$Segment
 298:           111           3552  sun.reflect.generics.tree.MethodTypeSignature (java.base@14.0.1)
 299:           144           3456  java.util.Collections$SetFromMap (java.base@14.0.1)
 300:            61           3416  jdk.internal.module.ModuleReferenceImpl (java.base@14.0.1)
 301:           168           3352  [Lcom.sun.jmx.mbeanserver.MXBeanMapping; (java.management@14.0.1)
 302:            83           3320  com.sun.management.internal.DiagnosticCommandArgumentInfo (jdk.management@14.0.1)
 303:            83           3320  io.micrometer.core.instrument.Meter$Id
 304:           129           3312  [Ljava.lang.annotation.ElementType; (java.base@14.0.1)
 305:           103           3296  java.util.Vector (java.base@14.0.1)
 306:            41           3280  org.springframework.beans.BeanWrapperImpl
 307:           202           3232  org.springframework.beans.factory.support.ConstructorResolver$AutowiredArgumentMarker
 308:           100           3200  java.lang.invoke.MethodHandles$Lookup (java.base@14.0.1)
 309:           100           3200  java.util.TreeMap$EntryIterator (java.base@14.0.1)
 310:            99           3168  javax.management.ObjectName (java.management@14.0.1)
 311:            79           3160  java.io.FilePermission (java.base@14.0.1)
 312:            49           3136  javax.management.openmbean.OpenMBeanAttributeInfoSupport (java.management@14.0.1)
 313:            14           3136  org.springframework.asm.MethodWriter
 314:            96           3072  sun.reflect.annotation.AnnotationType (java.base@14.0.1)
 315:            76           3040  java.util.logging.Logger$ConfigurationData (java.logging@14.0.1)
 316:           124           2976  org.springframework.boot.autoconfigure.condition.OnClassCondition
 317:            92           2944  sun.reflect.generics.reflectiveObjects.TypeVariableImpl (java.base@14.0.1)
 318:           183           2928  [Ljava.security.Principal; (java.base@14.0.1)
 319:           183           2928  java.security.ProtectionDomain$Key (java.base@14.0.1)
 320:            73           2920  [Ljavax.management.MBeanOperationInfo; (java.management@14.0.1)
 321:            73           2920  com.sun.beans.introspect.PropertyInfo (java.desktop@14.0.1)
 322:            91           2912  java.util.LinkedHashMap$LinkedValueIterator (java.base@14.0.1)
 323:            52           2912  java.util.stream.ReferencePipeline$Head (java.base@14.0.1)
 324:           120           2880  java.util.jar.Manifest (java.base@14.0.1)
 325:            45           2880  jdk.internal.org.objectweb.asm.SymbolTable (java.base@14.0.1)
 326:           119           2856  jdk.internal.loader.URLClassPath$Loader (java.base@14.0.1)
 327:           119           2856  org.springframework.boot.loader.jar.Handler
 328:           118           2832  java.util.concurrent.ConcurrentHashMap$MapEntry (java.base@14.0.1)
 329:            87           2784  java.util.Collections$UnmodifiableMap (java.base@14.0.1)
 330:           116           2784  sun.reflect.generics.visitor.Reifier (java.base@14.0.1)
 331:            43           2752  java.util.stream.ReferencePipeline$3 (java.base@14.0.1)
 332:            68           2720  java.lang.invoke.DirectMethodHandle$Accessor (java.base@14.0.1)
 333:            64           2688  [Lorg.hibernate.validator.internal.util.ConcurrentReferenceHashMap$HashEntry;
 334:            84           2688  sun.nio.fs.UnixPath (java.base@14.0.1)
 335:            37           2664  java.util.ResourceBundle$CacheKey (java.base@14.0.1)
 336:           111           2624  [Lsun.reflect.generics.tree.TypeSignature; (java.base@14.0.1)
 337:           163           2608  java.lang.ThreadLocal (java.base@14.0.1)
 338:            81           2592  java.security.Permissions (java.base@14.0.1)
 339:            81           2592  java.util.LinkedList$ListItr (java.base@14.0.1)
 340:           156           2496  java.util.HashMap$Values (java.base@14.0.1)
 341:            77           2464  io.micrometer.shaded.org.pcollections.ConsPStack
 342:            43           2456  [Ljava.beans.MethodDescriptor; (java.desktop@14.0.1)
 343:            38           2432  java.beans.Introspector (java.desktop@14.0.1)
 344:            76           2432  java.lang.invoke.MethodHandleNatives$CallSiteContext (java.base@14.0.1)
 345:           150           2400  org.springframework.expression.common.LiteralExpression
 346:           100           2400  sun.reflect.generics.scope.MethodScope (java.base@14.0.1)
 347:            99           2376  org.springframework.core.type.StandardAnnotationMetadata
 348:            74           2368  java.util.ResourceBundle$KeyElementReference (java.base@14.0.1)
 349:            49           2352  jdk.internal.org.objectweb.asm.AnnotationWriter (java.base@14.0.1)
 350:            98           2352  sun.reflect.generics.tree.FormalTypeParameter (java.base@14.0.1)
 351:            97           2328  java.util.AbstractMap$SimpleImmutableEntry (java.base@14.0.1)
 352:           145           2320  java.util.HashMap$EntrySet (java.base@14.0.1)
 353:            41           2296  java.security.Provider$Service (java.base@14.0.1)
 354:            95           2280  com.sun.beans.introspect.MethodInfo (java.desktop@14.0.1)
 355:            95           2280  java.security.Provider$ServiceKey (java.base@14.0.1)
 356:            56           2240  java.lang.invoke.DirectMethodHandle$Interface (java.base@14.0.1)
 357:            92           2208  sun.reflect.generics.parser.SignatureParser (java.base@14.0.1)
 358:           137           2192  com.sun.proxy.$Proxy13
 359:           136           2176  org.springframework.context.annotation.ConfigurationClassEnhancer$BeanFactoryAwareGeneratorStrategy
 360:           135           2160  java.util.TreeMap$EntrySet (java.base@14.0.1)
 361:            30           2160  javax.management.modelmbean.ModelMBeanInfoSupport (java.management@14.0.1)
 362:            89           2136  java.util.regex.Pattern$$Lambda$49/0x0000000800b8c440 (java.base@14.0.1)
 363:            53           2120  java.security.AccessControlContext (java.base@14.0.1)
 364:            66           2112  java.lang.invoke.LambdaForm$Kind (java.base@14.0.1)
 365:           129           2064  com.sun.proxy.$Proxy22
 366:            43           2064  java.beans.BeanDescriptor (java.desktop@14.0.1)
 367:           128           2048  java.lang.Character (java.base@14.0.1)
 368:            51           2040  org.springframework.util.ConcurrentReferenceHashMap
 369:            42           2016  com.sun.management.internal.DiagnosticCommandInfo (jdk.management@14.0.1)
